blockNumber,timeStamp,hash,nonce,blockHash,transactionIndex,from,to,value,gas,gasPrice,isError,txreceipt_status,contractAddress,gasUsed,tx_type,weiSpentOnGas
13102179,1629996440,0xb392f1762a595532f6c3856f589cfd9d955d9d5c08c87c8b0260f5310ae788d2,331,0x861faf90fc6074d97a54f9e96ea9b740144e347ac2ad9db64d72a2c07103cd7a,66,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,2000000,1.19806E+11,0,1,,114585,transaction,1.37E+16
13102926,1630006213,0xb281a2fe2d668bddc07fd0c8534840332a1bb59ed824f6366417882ad40ca7d1,332,0xd904acf1b80d57f53ea5b8fbac5be45069b1f8436f328f0d99d5e4af7dca0dae,79,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,2000000,72035060735,0,1,,108841,transaction,7.84037E+15
13104587,1630028686,0x905248461f6d7952ba992c5d87efa6a9560a2152777d0a4b144c8f832b384c6a,333,0xd72ec5961459565aeac51d8b9858270220e3dc9710d7fb43cadd667d314c17d4,238,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x50c1a2ea0a861a967d9d0ffe2ae4012c2e053804,0,499463,80000000000,0,1,,446471,transaction,3.57E+16
13104687,1630029935,0x762c996883588f1d424b7f0bd4cc62f21fb4ab7b5be17ebb1fb1edc4823997b4,334,0x592da195eaea4339fb4a2a4c32511c92975e7300f0ec31e91b1b70e5cd1062ab,264,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,,0,3956486,73448332806,0,1,0x26ab2029083909feeff8cb0fa04c1cff52499de7,3956486,transaction,2.91E+17
13104761,1630030737,0x2fede960b8c12e7860c4056dbcfb64b548f790efa0a532908b532e00b10b10d8,335,0x10705524a461802d90da39e127ed1285c8db602fac13ca9624816f0c81a74ec9,124,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,,0,4642503,71988315050,0,1,0x5e10e27deae12877e23a68cc0d6f1b134b4d517a,4642503,transaction,3.34E+17
13105019,1630034375,0x60aacf49545e8cda6c8787f73374f177071314f48866a859457f5ff1dc1357d2,336,0x6b59faa8db15839e9c819f716e355de5419c73815b14c0280be4fb8269405da7,112,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,2000000,77697237970,0,1,,909479,transaction,7.07E+16
13105040,1630034562,0x2120625bbe7a2fbc952b2a17eb1aede9f6d75ce6fc199834aebc8b6add0af34b,337,0xcef25dab8e7a4dff132e87ef5ec9133bfdd639d382b9db671efc4ac9095ad773,122,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,2000000,79750000000,1,0,,50224,transaction,4.00536E+15
13105061,1630034762,0xec567d5eb38d462cb512e5449db946ebda8618c5b5b01937035a22535263dabd,338,0x49e75cee5ebb33db62895b47f76d0c9db8a0d2223c3a0ec809b2c3b61c3d3353,152,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,5000000,61779580212,0,1,,526134,transaction,3.25E+16
13105106,1630035517,0x911a5f3e906b57f99bb728ed9f6373be2bfff317147f2cbd7387ec39c23e670e,339,0x1f039d93976a5c1f7641333774085a5366a6ee31627e794e6dbd73c0a1d0a804,147,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x50c1a2ea0a861a967d9d0ffe2ae4012c2e053804,0,499896,86357671645,0,1,,446851,transaction,3.86E+16
13115936,1630180587,0xbc9ea0c7b9fbca32b9f0c97be6c6171a1bf49c1c9d9adee2af37a90596a5df8a,340,0x78ba9e1ec21755638f232050160d99046b296939657fe2e66ebd68f6e00defe2,25,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,8000000,66630899557,0,1,,3234809,transaction,2.16E+17
